,Date,Open Price,High Price,Low Price,Close Price,Volume,MA60,MA20,MA10,MA5,kc_middle,kc_upper,kc_lower
124,20221106 04:00:00,21234.44,21252.54,21212.99,21227.73,5328.98596,20957.094,21297.426499999998,21283.790999999997,21244.542,21150.160774942662,21313.83443599416,20986.487113891166
125,20221106 05:00:00,21228.62,21240.95,21143.27,21155.41,8342.18373,20972.581166666667,21290.664500000003,21266.220999999998,21210.586,21150.41127378058,21317.2535741648,20983.568973396363
126,20221106 06:00:00,21154.86,21191.17,21144.92,21171.47,7009.96578,20988.0615,21283.331,21248.125999999997,21205.414,21151.416116981956,21310.824175845282,20992.00805811863
127,20221106 07:00:00,21171.47,21206.0,21157.23,21194.49,7838.69105,21003.594166666666,21272.824,21234.04,21196.595999999998,21153.471240915103,21306.692485291904,21000.249996538303
128,20221106 08:00:00,21193.88,21310.0,21173.03,21253.7,12886.03997,21020.534999999996,21269.9795,21229.715,21200.560000000005,21158.252872950034,21323.546007992005,20992.959737908062
129,20221106 09:00:00,21253.7,21299.78,21231.46,21241.2,7489.51767,21036.898999999998,21268.467,21223.898,21203.254,21162.20969820658,21324.6375165181,20999.78187989506
130,20221106 10:00:00,21240.37,21280.0,21236.4,21263.67,6554.18383,21054.70333333333,21267.682999999997,21217.746,21224.906000000003,21167.049250891236,21321.95427974822,21012.14422203425
131,20221106 11:00:00,21263.67,21274.9,21178.01,21255.08,11416.97186,21072.157666666666,21265.476000000002,21223.521,21241.628,21171.247892042058,21330.04042155888,21012.455362525237
132,20221106 12:00:00,21254.8,21269.99,21218.4,21227.01,8315.31939,21087.93733333333,21260.590000000004,21222.364,21248.132,21173.907272585133,21327.13854458542,21020.676000584845
133,20221106 13:00:00,21227.82,21249.48,21206.62,21220.48,7613.24964,21103.493833333334,21255.6495,21221.023999999998,21241.487999999998,21176.128236468518,21322.60837628139,21029.648096655645
134,20221106 14:00:00,21219.92,21258.65,21190.81,21225.84,10037.50833,21118.7195,21252.313000000002,21220.835,21238.415999999997,21178.49873131534,21323.898856428852,21033.098606201827
135,20221106 15:00:00,21226.2,21289.49,21223.78,21241.1,10517.27299,21134.041333333334,21247.8125,21229.404000000002,21233.902,21181.48366324064,21325.48577500625,21037.48155147503
136,20221106 16:00:00,21241.85,21275.0,21152.46,21257.44,17272.32094,21149.50216666667,21243.0635,21238.001,21234.374,21185.105160155406,21339.215066187982,21030.99525412283
137,20221106 17:00:00,21257.74,21282.19,21218.56,21247.11,7172.83916,21162.887333333336,21238.6515,21243.263,21238.394,21188.061292045662,21339.486206173584,21036.63637791774
138,20221106 18:00:00,21247.11,21252.74,21195.04,21223.55,9262.72654,21173.163999999997,21234.9815,21240.248,21239.008,21189.753149414526,21337.575570558165,21041.930728270887
139,20221106 19:00:00,21223.24,21237.75,21170.0,21194.5,8308.39032,21182.879666666668,21229.738,21235.578,21232.74,21189.97943434818,21336.569612893676,21043.389255802686
140,20221106 20:00:00,21194.5,21204.73,21158.0,21203.3,6385.69475,21193.211499999998,21223.643500000002,21229.541,21225.18,21190.614400217873,21331.891559031512,21049.337241404235
141,20221106 21:00:00,21204.13,21211.62,21110.56,21127.33,8033.62907,21202.512,21220.1435,21216.766,21199.158,21187.597901907146,21334.959346774263,21040.236457040028
