,Date,Time,Open,High,Low,Close,TotalVolume
14072,20221118,20:40:00,16623.22,16633.33,16616.03,16628.48,489.12243
14073,20221118,20:45:00,16628.48,16644.53,16620.13,16639.18,622.80367
14074,20221118,20:50:00,16638.54,16645.0,16618.88,16627.76,598.83393
14075,20221118,20:55:00,16628.73,16641.61,16625.86,16639.06,509.77608
14076,20221118,21:00:00,16639.06,16655.79,16630.05,16645.71,466.72475
14077,20221118,21:05:00,16645.71,16666.23,16642.8,16651.86,484.02319
14078,20221118,21:10:00,16651.86,16664.7,16648.12,16658.91,368.58439
14079,20221118,21:15:00,16658.15,16666.38,16646.67,16651.32,351.86156
14080,20221118,21:20:00,16651.32,16660.18,16646.84,16650.75,295.25598
14081,20221118,21:25:00,16650.75,16669.58,16643.11,16667.53,384.91652
14082,20221118,21:30:00,16668.84,16676.58,16645.0,16648.23,520.47409
14083,20221118,21:35:00,16648.23,16659.36,16647.47,16654.07,329.81417
14084,20221118,21:40:00,16654.53,16661.0,16646.18,16657.39,335.91409
14085,20221118,21:45:00,16657.39,16671.2,16653.75,16669.81,331.84161
14086,20221118,21:50:00,16669.81,16674.0,16650.63,16659.07,370.48789
14087,20221118,21:55:00,16659.07,16664.57,16650.69,16651.93,322.23972
14088,20221118,22:00:00,16651.93,16655.79,16642.0,16645.89,284.21683
14089,20221118,22:05:00,16646.58,16647.52,16634.07,16636.35,361.16865
14090,20221118,22:10:00,16636.35,16645.98,16634.51,16642.66,271.50392
14091,20221118,22:15:00,16642.66,16652.72,16640.0,16652.54,224.15601
14092,20221118,22:20:00,16652.54,16671.8,16650.5,16656.09,365.68457
14093,20221118,22:25:00,16656.81,16661.41,16646.93,16654.76,271.82897
14094,20221118,22:30:00,16654.76,16655.78,16626.83,16641.75,440.88673
14095,20221118,22:35:00,16640.93,16646.63,16629.97,16633.2,410.20434
14096,20221118,22:40:00,16633.2,16647.15,16632.82,16639.52,228.30156
14097,20221118,22:45:00,16639.52,16655.91,16637.0,16654.19,135.81811
14098,20221118,22:50:00,16654.19,16668.62,16652.63,16667.09,169.43857
14099,20221118,22:55:00,16667.44,16667.65,16654.3,16665.73,160.97466
14100,20221118,23:00:00,16665.73,16666.32,16630.7,16634.04,564.58471
14101,20221118,23:05:00,16633.75,16654.23,16632.63,16645.82,357.63531
14102,20221118,23:10:00,16645.82,16651.68,16632.46,16633.7,267.20166
14103,20221118,23:15:00,16633.34,16644.4,16628.94,16632.89,438.68925
14104,20221118,23:20:00,16632.39,16650.12,16632.25,16643.77,357.38225
14105,20221118,23:25:00,16643.77,16655.31,16632.75,16653.68,283.92098
14106,20221118,23:30:00,16652.66,16666.66,16641.08,16666.43,453.49965
14107,20221118,23:35:00,16666.43,16709.75,16665.21,16695.31,1348.7367
14108,20221118,23:40:00,16695.31,16703.25,16672.31,16689.42,496.80637
14109,20221118,23:45:00,16689.42,16707.94,16684.66,16703.05,398.01582
14110,20221118,23:50:00,16703.05,16727.99,16693.27,16703.33,935.54986
14111,20221118,23:55:00,16703.33,16711.0,16696.45,16700.45,385.70693
14112,20221119,00:00:00,16699.43,16708.77,16690.0,16691.66,510.67456
14113,20221119,00:05:00,16691.66,16696.58,16682.88,16694.41,365.48003
14114,20221119,00:10:00,16694.41,16703.27,16689.98,16695.44,284.11142
14115,20221119,00:15:00,16695.45,16696.92,16680.86,16681.69,274.54036
14116,20221119,00:20:00,16683.11,16690.57,16678.47,16680.07,312.06618
14117,20221119,00:25:00,16680.96,16691.0,16677.09,16690.63,240.74398
14118,20221119,00:30:00,16690.63,16691.27,16670.01,16675.59,310.95136
14119,20221119,00:35:00,16675.67,16679.81,16671.4,16678.7,172.21668
14120,20221119,00:40:00,16678.7,16682.42,16670.56,16672.94,365.43135
14121,20221119,00:45:00,16672.94,16678.54,16670.95,16674.82,219.61882
14122,20221119,00:50:00,16675.32,16676.28,16662.26,16669.7,376.91675
